kreis_id;kreis_name;kreis_bevoelkerung_gesamt;fallzahl;fallzahl_pro_100k
06439;Rheingau-Taunus-Kreis;187160;7187;3,84002992092327
06440;Wetteraukreis;308339;13063;4,23657078734769
06531;Gießen;270688;13752;5,08038775268944
06532;Lahn-Dill-Kreis;253319;12298;4,85474836076252
06533;Limburg-Weilburg;171912;9164;5,33063427800270
06534;Marburg-Biedenkopf;247084;10977;4,44261870457011
06535;Vogelsbergkreis;105643;4041;3,82514695720493
06611;Kassel, documenta-Stadt;202137;8385;4,14817673162261
06631;Fulda;223145;13253;5,93918752380739
06632;Hersfeld-Rotenburg;120719;6064;5,02323577895775
06633;Kassel;236764;8158;3,44562517950364
06634;Schwalm-Eder-Kreis;179673;6659;3,70617733326654
06635;Waldeck-Frankenberg;156406;6283;4,01710931805685
06636;Werra-Meißner-Kreis;100629;3649;3,62619125699351
07111;Koblenz, kreisfreie Stadt;114052;4457;3,90786658717076
07131;Ahrweiler;130086;4430;3,40543947849884
07132;Altenkirchen (Westerwald);128805;4868;3,77935639144443
