date;category;variable;value
2020-04-25;response;C4_Restrictions on gatherings;4
2020-04-25;response;C6_Stay at home requirements;2
2020-04-26;response;C1_School closing;3
2020-04-26;response;C4_Restrictions on gatherings;4
2020-04-26;response;C6_Stay at home requirements;2
2020-04-27;response;C1_School closing;3
2020-04-27;response;C4_Restrictions on gatherings;4
2020-04-27;response;C6_Stay at home requirements;2
2020-04-28;response;C1_School closing;3
2020-04-28;response;C4_Restrictions on gatherings;4
2020-04-28;response;C6_Stay at home requirements;2
2020-04-29;response;C1_School closing;3
2020-04-29;response;C4_Restrictions on gatherings;4
2020-04-29;response;C6_Stay at home requirements;2
2020-04-30;response;C1_School closing;3
2020-04-30;response;C4_Restrictions on gatherings;4
2020-04-30;response;C6_Stay at home requirements;2
2020-05-01;response;C1_School closing;3
2020-05-01;response;C4_Restrictions on gatherings;4
2020-05-01;response;C6_Stay at home requirements;2
2020-05-02;response;C1_School closing;3
2020-05-02;response;C4_Restrictions on gatherings;4
2020-05-02;response;C6_Stay at home requirements;2
2020-05-03;response;C1_School closing;3
2020-05-03;response;C4_Restrictions on gatherings;4
2020-05-03;response;C6_Stay at home requirements;2
2020-05-04;response;C1_School closing;2
2020-05-04;response;C4_Restrictions on gatherings;4
2020-05-04;response;C6_Stay at home requirements;2
2020-05-05;response;C1_School closing;2
2020-05-05;response;C4_Restrictions on gatherings;4
2020-05-05;response;C6_Stay at home requirements;2
2020-05-06;response;C1_School closing;2
2020-05-06;response;C4_Restrictions on gatherings;4
2020-05-06;response;C6_Stay at home requirements;0
2020-05-07;response;C1_School closing;2
2020-05-07;response;C4_Restrictions on gatherings;4
2020-05-07;response;C6_Stay at home requirements;0
2020-05-08;response;C1_School closing;2
2020-05-08;response;C4_Restrictions on gatherings;4
2020-05-08;response;C6_Stay at home requirements;0
2020-05-09;response;C1_School closing;2
2020-05-09;response;C4_Restrictions on gatherings;4
2020-05-09;response;C6_Stay at home requirements;0
2020-05-10;response;C1_School closing;2
2020-05-10;response;C4_Restrictions on gatherings;4
2020-05-10;response;C6_Stay at home requirements;0
2020-05-11;response;C1_School closing;2
2020-05-11;response;C4_Restrictions on gatherings;4
2020-05-11;response;C6_Stay at home requirements;0
2020-05-12;response;C1_School closing;2
2020-05-12;response;C4_Restrictions on gatherings;4
2020-05-12;response;C6_Stay at home requirements;0
2020-05-13;response;C1_School closing;2
2020-05-13;response;C4_Restrictions on gatherings;4
2020-05-13;response;C6_Stay at home requirements;0
2020-05-14;response;C1_School closing;2
2020-05-14;response;C4_Restrictions on gatherings;4
2020-05-14;response;C6_Stay at home requirements;0
2020-05-15;response;C1_School closing;2
2020-05-15;response;C4_Restrictions on gatherings;4
2020-05-15;response;C6_Stay at home requirements;0
2020-05-16;response;C1_School closing;2
2020-05-16;response;C4_Restrictions on gatherings;4
2020-05-16;response;C6_Stay at home requirements;0
2020-05-17;response;C1_School closing;2
2020-05-17;response;C4_Restrictions on gatherings;4
2020-05-17;response;C6_Stay at home requirements;0
2020-05-18;response;C1_School closing;2
2020-05-18;response;C4_Restrictions on gatherings;4
2020-05-18;response;C6_Stay at home requirements;0
2020-05-19;response;C1_School closing;2
2020-05-19;response;C4_Restrictions on gatherings;4
2020-05-19;response;C6_Stay at home requirements;0
2020-05-20;response;C1_School closing;2
2020-05-20;response;C4_Restrictions on gatherings;4
2020-05-20;response;C6_Stay at home requirements;0
2020-05-21;response;C1_School closing;2
2020-05-21;response;C4_Restrictions on gatherings;4
2020-05-21;response;C6_Stay at home requirements;0
2020-05-22;response;C1_School closing;2
2020-05-22;response;C4_Restrictions on gatherings;4
2020-05-22;response;C6_Stay at home requirements;0
2020-05-23;response;C1_School closing;2
2020-05-23;response;C4_Restrictions on gatherings;4
2020-05-23;response;C6_Stay at home requirements;0
2020-05-24;response;C1_School closing;2
2020-05-24;response;C4_Restrictions on gatherings;4
2020-05-24;response;C6_Stay at home requirements;0
2020-05-25;response;C1_School closing;2
2020-05-25;response;C4_Restrictions on gatherings;4
2020-05-25;response;C6_Stay at home requirements;0
2020-05-26;response;C1_School closing;2
2020-05-26;response;C4_Restrictions on gatherings;4
2020-05-26;response;C6_Stay at home requirements;0
2020-05-27;response;C1_School closing;2
2020-05-27;response;C4_Restrictions on gatherings;4
2020-05-27;response;C6_Stay at home requirements;0
2020-05-28;response;C1_School closing;2
2020-05-28;response;C4_Restrictions on gatherings;4
2020-05-28;response;C6_Stay at home requirements;0
2020-05-29;response;C1_School closing;2
2020-05-29;response;C4_Restrictions on gatherings;4
2020-05-29;response;C6_Stay at home requirements;0
2020-05-30;response;C1_School closing;2
2020-05-30;response;C4_Restrictions on gatherings;4
2020-05-30;response;C6_Stay at home requirements;0
2020-05-31;response;C1_School closing;2
2020-05-31;response;C4_Restrictions on gatherings;4
2020-05-31;response;C6_Stay at home requirements;0
2020-06-01;response;C1_School closing;2
2020-06-01;response;C4_Restrictions on gatherings;4
2020-06-01;response;C6_Stay at home requirements;0
2020-06-02;response;C1_School closing;2
2020-06-02;response;C4_Restrictions on gatherings;4
2020-06-02;response;C6_Stay at home requirements;0
2020-06-03;response;C1_School closing;2
2020-06-03;response;C4_Restrictions on gatherings;4
2020-06-03;response;C6_Stay at home requirements;0
2020-06-04;response;C1_School closing;2
2020-06-04;response;C4_Restrictions on gatherings;4
2020-06-04;response;C6_Stay at home requirements;0
2020-06-05;response;C1_School closing;2
2020-06-05;response;C4_Restrictions on gatherings;4
2020-06-05;response;C6_Stay at home requirements;0
2020-06-06;response;C1_School closing;2
2020-06-06;response;C4_Restrictions on gatherings;4
2020-06-06;response;C6_Stay at home requirements;0
2020-06-07;response;C1_School closing;2
2020-06-07;response;C4_Restrictions on gatherings;4
2020-06-07;response;C6_Stay at home requirements;0
2020-06-08;response;C1_School closing;2
2020-06-08;response;C4_Restrictions on gatherings;4
2020-06-08;response;C6_Stay at home requirements;0
2020-06-09;response;C1_School closing;2
2020-06-09;response;C4_Restrictions on gatherings;4
2020-06-09;response;C6_Stay at home requirements;0
2020-06-10;response;C1_School closing;2
2020-06-10;response;C4_Restrictions on gatherings;4
2020-06-10;response;C6_Stay at home requirements;0
2020-06-11;response;C1_School closing;2
2020-06-11;response;C4_Restrictions on gatherings;4
2020-06-11;response;C6_Stay at home requirements;0
2020-06-12;response;C1_School closing;2
2020-06-12;response;C4_Restrictions on gatherings;4
2020-06-12;response;C6_Stay at home requirements;0
2020-06-13;response;C1_School closing;2
2020-06-13;response;C4_Restrictions on gatherings;4
2020-06-13;response;C6_Stay at home requirements;0
2020-06-14;response;C1_School closing;2
2020-06-14;response;C4_Restrictions on gatherings;4
2020-06-14;response;C6_Stay at home requirements;0
2020-06-15;response;C1_School closing;2
2020-06-15;response;C4_Restrictions on gatherings;4
2020-06-15;response;C6_Stay at home requirements;0
2020-06-16;response;C1_School closing;2
2020-06-16;response;C4_Restrictions on gatherings;4
2020-06-16;response;C6_Stay at home requirements;0
2020-06-17;response;C1_School closing;2
2020-06-17;response;C4_Restrictions on gatherings;4
2020-06-17;response;C6_Stay at home requirements;0
2020-06-18;response;C1_School closing;3
2020-06-18;response;C4_Restrictions on gatherings;4
